"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"47",7,"Aidan O'Connell",LV,"8","3 out of 5 stars","+25"
"48",7,"Malik Willis",GB,"5","2 out of 5 stars","-3"
"49",7,"Zach Wilson",MIA,"12","5 out of 5 stars","+25"
"50",7,"Mac Jones",SF,"14","4 out of 5 stars","+2"
"51",7,"Jake Browning",CIN,"10","2 out of 5 stars","+11"
"52",7,"Gardner Minshew II",KC,"10","3 out of 5 stars","+1"
"53",7,"Andy Dalton",CAR,"14","3 out of 5 stars","+20"
"54",7,"Will Howard",PIT,"5","4 out of 5 stars","-7"
"55",7,"Sam Howell",MIN,"6","2 out of 5 stars","+13"
"56",7,"Cooper Rush",BAL,"7","3 out of 5 stars","+5"
"57",7,"Joshua Dobbs",NE,"14","5 out of 5 stars","-9"
"58",7,"Deshaun Watson",CLE,"9","2 out of 5 stars","-14"
"59",7,"Mitchell Trubisky",BUF,"7","4 out of 5 stars","+5"
"60",7,"Quinn Ewers",MIA,"12","5 out of 5 stars","+6"
"61",7,"Jacoby Brissett",ARI,"8","4 out of 5 stars","+16"
"62",7,"Hendon Hooker",DET,"8","2 out of 5 stars","+13"
"63",7,"Taylor Heinicke",LAC,"12","3 out of 5 stars","+20"
"64",7,"Kyle Trask",TB,"9","2 out of 5 stars","+25"
"65",7,"Jarrett Stidham",DEN,"12","4 out of 5 stars","-16"
"66",7,"Tyson Bagent",CHI,"5","2 out of 5 stars","+27"
"67",7,"Tanner McKee",PHI,"9","3 out of 5 stars","-27"
"68",7,"Nick Mullens",JAC,"8","3 out of 5 stars","-5"
"69",7,"Jake Haener",NO,"11","5 out of 5 stars","+23"
"70",8,"Davis Mills",HOU,"6","3 out of 5 stars","+17"
"71",8,"Trey Lance",LAC,"12","3 out of 5 stars","-2"
"72",8,"Drew Lock",SEA,"8","4 out of 5 stars","-13"
"73",8,"Kyle Allen",DET,"8","2 out of 5 stars","+6"
"74",8,"Brandon Allen",TEN,"10","2 out of 5 stars","+4"
"75",8,"Riley Leonard",IND,"11","3 out of 5 stars","+28"
"76",8,"Tommy Mellott",LV,"8","3 out of 5 stars","-"
"77",8,"Dorian Thompson-Robinson",PHI,"9","3 out of 5 stars","-6"
"78",8,"Teddy Bridgewater",TB,"9","2 out of 5 stars","+4"
"79",8,"Clayton Tune",ARI,"8","4 out of 5 stars","+41"
"80",8,"Bailey Zappe",KC,"10","3 out of 5 stars","+11"
"81",8,"Kyle McCord",PHI,"9","3 out of 5 stars","+27"
"82",8,"Case Keenum",CHI,"5","2 out of 5 stars","+28"
"83",9,"Cam Miller",LV,"8","3 out of 5 stars","+21"
"84",9,"Graham Mertz",HOU,"6","3 out of 5 stars","+18"
"85",9,"Easton Stick",ATL,"5","4 out of 5 stars","-"
"86",9,"Stetson Bennett IV",LAR,"8","3 out of 5 stars","-21"
"87",9,"John Wolford",JAC,"8","3 out of 5 stars","+26"
"88",9,"Mike White",BUF,"7","4 out of 5 stars","+24"
"89",9,"Josh Johnson",WAS,"12","2 out of 5 stars","-13"
"90",9,"Sam Ehlinger",DEN,"12","4 out of 5 stars","-2"
"91",9,"Devin Leary",BAL,"7","3 out of 5 stars","+3"
"92",9,"Tommy DeVito",NYG,"14","1 out of 5 stars","-32"
"93",9,"Skylar Thompson",PIT,"5","4 out of 5 stars","-13"
"94",9,"Brett Rypien",MIN,"6","2 out of 5 stars","-9"
"95",9,"Kurtis Rourke",SF,"14","4 out of 5 stars","+32"
"96",9,"Sean Clifford",GB,"5","2 out of 5 stars","+22"
