"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"28",5,"Tyrone Tracy Jr.",NYG,"14","3 out of 5 stars","+1"
"29",5,"Jordan Mason",MIN,"6","3 out of 5 stars","+4"
"30",5,"Joe Mixon",HOU,"6","2 out of 5 stars","-6"
"31",5,"Jaylen Warren",PIT,"5","4 out of 5 stars","0"
"32",5,"Travis Etienne Jr.",JAC,"8","2 out of 5 stars","+3"
"33",5,"Brian Robinson Jr.",WAS,"12","2 out of 5 stars","-3"
"34",5,"Tank Bigsby",JAC,"8","2 out of 5 stars","+7"
"35",5,"Zach Charbonnet",SEA,"8","3 out of 5 stars","-1"
"36",5,"J.K. Dobbins",DEN,"12","2 out of 5 stars","0"
"37",5,"Javonte Williams",DAL,"10","2 out of 5 stars","0"
"38",6,"Rhamondre Stevenson",NE,"14","4 out of 5 stars","+2"
"39",6,"Quinshon Judkins",CLE,"9","4 out of 5 stars","-7"
"40",6,"Cam Skattebo",NYG,"14","3 out of 5 stars","-2"
"41",6,"Najee Harris",LAC,"12","2 out of 5 stars","-2"
"42",6,"Tyjae Spears",TEN,"10","2 out of 5 stars","+2"
"43",6,"Ray Davis",BUF,"7","4 out of 5 stars","+9"
"44",6,"Braelon Allen",NYJ,"9","5 out of 5 stars","+6"
"45",6,"Jacory Croskey-Merritt",WAS,"12","2 out of 5 stars","+13"
"46",6,"Trey Benson",ARI,"8","3 out of 5 stars","+5"
"47",6,"Rachaad White",TB,"9","3 out of 5 stars","-4"
"48",6,"Austin Ekeler",WAS,"12","2 out of 5 stars","-2"
"49",6,"Tyler Allgeier",ATL,"5","4 out of 5 stars","+4"
"50",6,"Nick Chubb",HOU,"6","2 out of 5 stars","-3"
"51",6,"Isaac Guerendo",SF,"14","3 out of 5 stars","-3"
"52",6,"Jaydon Blue",DAL,"10","2 out of 5 stars","-10"
"53",7,"Jerome Ford",CLE,"9","4 out of 5 stars","-4"
"54",7,"Bhayshul Tuten",JAC,"8","2 out of 5 stars","-9"
"55",7,"Rico Dowdle",CAR,"14","3 out of 5 stars","-1"
"56",7,"Dylan Sampson",CLE,"9","4 out of 5 stars","-1"
"57",7,"Jaylen Wright",MIA,"12","4 out of 5 stars","-1"
"58",7,"Roschon Johnson",CHI,"5","3 out of 5 stars","-1"
"59",7,"Blake Corum",LAR,"8","3 out of 5 stars","+5"
"60",7,"MarShawn Lloyd",GB,"5","4 out of 5 stars","-1"
"61",7,"Kendre Miller",NO,"11","4 out of 5 stars","-1"
"62",7,"Kyle Monangai",CHI,"5","3 out of 5 stars","0"
"63",7,"Will Shipley",PHI,"9","3 out of 5 stars","+6"
"64",7,"Miles Sanders",DAL,"10","2 out of 5 stars","+8"
"65",7,"Keaton Mitchell",BAL,"7","4 out of 5 stars","+9"
"66",7,"Ollie Gordon II",MIA,"12","4 out of 5 stars","+9"
"67",7,"DJ Giddens",IND,"11","2 out of 5 stars","+4"
"68",8,"Kareem Hunt",KC,"10","2 out of 5 stars","-3"
"69",8,"Justice Hill",BAL,"7","4 out of 5 stars","-8"
"70",8,"Woody Marks",HOU,"6","2 out of 5 stars","-2"
"71",8,"Sean Tucker",TB,"9","3 out of 5 stars","+12"
"72",8,"Tahj Brooks",CIN,"10","4 out of 5 stars","+1"
"73",8,"Devin Neal",NO,"11","4 out of 5 stars","+3"
"74",8,"Jarquez Hunter",LAR,"8","3 out of 5 stars","-8"
"75",8,"Elijah Mitchell",KC,"10","2 out of 5 stars","+4"
"76",8,"Raheem Mostert",LV,"8","2 out of 5 stars","-9"
"77",8,"Jaleel McLaughlin",DEN,"12","2 out of 5 stars","+3"
"78",8,"Devin Singletary",NYG,"14","3 out of 5 stars","+8"
"79",8,"Trevor Etienne",CAR,"14","3 out of 5 stars","-16"
"80",8,"Chris Rodriguez Jr.",WAS,"12","2 out of 5 stars","+2"
"81",8,"Audric Estime",DEN,"12","2 out of 5 stars","+6"
"82",8,"Ty Johnson",BUF,"7","4 out of 5 stars","+7"
"83",8,"Brashard Smith",KC,"10","2 out of 5 stars","-13"
"84",8,"Kenneth Gainwell",PIT,"5","4 out of 5 stars","+8"
"85",8,"Antonio Gibson",NE,"14","4 out of 5 stars","-1"
"86",8,"Dameon Pierce",HOU,"6","2 out of 5 stars","+2"
"87",8,"Isaiah Davis",NYJ,"9","5 out of 5 stars","+7"
"88",8,"Jordan James",SF,"14","3 out of 5 stars","-10"
"89",8,"Khalil Herbert",IND,"11","2 out of 5 stars","+1"
"90",9,"Kimani Vidal",LAC,"12","2 out of 5 stars","+5"
"91",9,"Damien Martinez",SEA,"8","3 out of 5 stars","0"
"92",9,"Sincere McCormick",LV,"8","2 out of 5 stars","-"
"93",9,"Emanuel Wilson",GB,"5","4 out of 5 stars","0"
"94",9,"Chris Brooks",GB,"5","4 out of 5 stars","-"
"95",9,"Phil Mafah",DAL,"10","2 out of 5 stars","+1"
"96",9,"Ty Chandler",MIN,"6","3 out of 5 stars","-"
"97",9,"Raheim Sanders",LAC,"12","2 out of 5 stars","-"
"98",9,"Zamir White",LV,"8","2 out of 5 stars","-"
"99",9,"Samaje Perine",CIN,"10","4 out of 5 stars","-22"
"100",9,"Zack Moss",FA,"-","-","-19"
"101",9,"A.J. Dillon",PHI,"9","3 out of 5 stars","-16"
"102",9,"Cam Akers",NO,"11","4 out of 5 stars","-"
"103",10,"Donovan Edwards",NYJ,"9","5 out of 5 stars","-"
"104",10,"Gus Edwards",FA,"-","-","-"
"105",10,"Kalel Mullings",TEN,"10","2 out of 5 stars","-"
"106",10,"LeQuint Allen Jr.",JAC,"8","2 out of 5 stars","-"
"107",10,"Emari Demercado",ARI,"8","3 out of 5 stars","-"
"108",10,"Trey Sermon",PIT,"5","4 out of 5 stars","-"
"109",10,"Craig Reynolds",DET,"8","2 out of 5 stars","-"
"110",10,"Clyde Edwards-Helaire",NO,"11","4 out of 5 stars","-"
"111",10,"Jeremy McNichols",WAS,"12","2 out of 5 stars","-"
"112",10,"Pierre Strong Jr.",CLE,"9","4 out of 5 stars","-"
"113",10,"Kyle Juszczyk",SF,"14","3 out of 5 stars","-"
"114",10,"Ja'Quinden Jackson",JAC,"8","2 out of 5 stars","-"
"115",10,"Jonathon Brooks",CAR,"14","3 out of 5 stars","-"
"116",10,"Tyler Goodson",IND,"11","2 out of 5 stars","-"
"117",10,"Dare Ogunbowale",HOU,"6","2 out of 5 stars","-"
"118",10,"D'Ernest Johnson",BAL,"7","4 out of 5 stars","-"
"119",10,"Alec Ingold",MIA,"12","4 out of 5 stars","-"
"120",10,"Carson Steele",KC,"10","2 out of 5 stars","-"
"121",10,"Julius Chestnut",TEN,"10","2 out of 5 stars","-"
"122",10,"Tyler Badie",DEN,"12","2 out of 5 stars","-"
"123",10,"Marcus Yarns",NO,"11","4 out of 5 stars","-"
"124",10,"Michael Carter",ARI,"8","3 out of 5 stars","-"
"125",10,"Chris Tyree",NO,"11","4 out of 5 stars","-"
"126",10,"Dylan Laube",LV,"8","2 out of 5 stars","-"
"127",10,"Hassan Haskins",LAC,"12","2 out of 5 stars","-"
"128",10,"Deuce Vaughn",DAL,"10","2 out of 5 stars","-"
"129",10,"Hunter Luepke",DAL,"10","2 out of 5 stars","-"
"130",11,"Sione Vaki",DET,"8","2 out of 5 stars","-"
"131",11,"Carlos Washington Jr.",ATL,"5","4 out of 5 stars","-"
"132",11,"Cordarrelle Patterson",FA,"-","-","-"
"133",11,"Eric Gray",NYG,"14","3 out of 5 stars","-"
"134",11,"C.J. Ham",MIN,"6","3 out of 5 stars","-"
"135",11,"DeeJay Dallas",ARI,"8","3 out of 5 stars","-"
"136",11,"Rasheen Ali",BAL,"7","4 out of 5 stars","-"
"137",11,"George Holani",SEA,"8","3 out of 5 stars","-"
"138",11,"Ronnie Rivers",LAR,"8","3 out of 5 stars","-"
"139",11,"Corey Kiner",SF,"14","3 out of 5 stars","-"
"140",11,"Michael Burton",DEN,"12","2 out of 5 stars","-"
"141",11,"Jeff Wilson Jr.",SF,"14","3 out of 5 stars","-"
"142",11,"Trayveon Williams",CLE,"9","4 out of 5 stars","-"
"143",11,"Patrick Ricard",BAL,"7","4 out of 5 stars","-"
"144",11,"Jase McClellan",TB,"9","3 out of 5 stars","-"
"145",11,"Frank Gore Jr.",BUF,"7","4 out of 5 stars","-"
"146",11,"Cody Schrader",LAR,"8","3 out of 5 stars","-"
"147",11,"Jakob Johnson",HOU,"6","2 out of 5 stars","-"
"148",11,"Kene Nwangwu",NYJ,"9","5 out of 5 stars","-"
"149",11,"Jawhar Jordan",HOU,"6","2 out of 5 stars","-"
"150",11,"Ezekiel Elliott",FA,"-","-","-"
"151",11,"Dalvin Cook",FA,"-","-","-"
"152",11,"Keilan Robinson",PHI,"9","3 out of 5 stars","-"
"153",11,"Amar Johnson",GB,"5","4 out of 5 stars","-"
"154",11,"D'Onta Foreman",FA,"-","-","-"
"155",11,"Travis Homer",CHI,"5","3 out of 5 stars","-"
"156",11,"Evan Hull",PIT,"5","4 out of 5 stars","-"
"157",11,"Terrell Jennings",NE,"14","4 out of 5 stars","-"
"158",11,"Nyheim Miller-Hines",LAC,"12","2 out of 5 stars","-"
"159",11,"Raheem Blackshear",CAR,"14","3 out of 5 stars","-"
"160",12,"Israel Abanikanda",GB,"5","4 out of 5 stars","-"
"161",12,"Troy Hairston II",FA,"-","-","-"
"162",12,"Tre Stewart",MIN,"6","3 out of 5 stars","-"
"163",12,"Michael Wiley",KC,"10","2 out of 5 stars","-"
"164",12,"Owen Wright",TB,"9","3 out of 5 stars","-"
"165",12,"Keaontay Ingram",KC,"10","2 out of 5 stars","-"
"166",12,"Blake Watson",DEN,"12","2 out of 5 stars","-"
"167",12,"Gary Brightwell",CIN,"10","4 out of 5 stars","-"
"168",12,"Reggie Gilliam",BUF,"7","4 out of 5 stars","-"
"169",12,"Tyrion Davis-Price",GB,"5","4 out of 5 stars","-"
"170",12,"Lew Nichols III",PIT,"5","4 out of 5 stars","-"
"171",12,"Jaret Patterson",LAC,"12","2 out of 5 stars","-"
"172",12,"Elijah Dotson",ATL,"5","4 out of 5 stars","-"
"173",12,"Avery Williams",PHI,"9","3 out of 5 stars","-"
"174",12,"Malik Davis",DAL,"10","2 out of 5 stars","-"
"175",12,"Dante Miller",NYG,"14","3 out of 5 stars","-"
"176",12,"Montrell Johnson Jr.",PHI,"9","3 out of 5 stars","-"
"177",12,"British Brooks",HOU,"6","2 out of 5 stars","-"
"178",12,"Salvon Ahmed",IND,"11","2 out of 5 stars","-"
